nomes,nomeJogador,idade,numero,nacionalidade
Vitória SC,Bruno Varela,28 anos,14,Portugal
Vitória SC,Rafa,19 anos,53,Portugal
Vitória SC,Antal Bencze,20 anos,61,Hungria
Vitória SC,Celton Biai,22 anos,63,Portugal
Vitória SC,Matous Trmal,24 anos,29,Chéquia
Vitória SC,Jonathan Mutombo,20 anos,45,França
Vitória SC,Rui Correia,20 anos,82,Portugal
Vitória SC,Miguel Maga,20 anos,2,Portugal
Vitória SC,Bruno Gaspar,29 anos,76,Angola
Vitória SC,Alberto Costa,19 anos,52,Portugal
Vitória SC,Mikel Villanueva,29 anos,3,Venezuela
Vitória SC,André Amaro,20 anos,13,Portugal
Vitória SC,Ibrahima Bamba,20 anos,22,Itália
Vitória SC,Maxwell Woledzi,21 anos,36,Gana
Vitória SC,Jorge Fernandes,25 anos,44,Portugal
Vitória SC,João Ricciulli,23 anos,50,Guiné-Bissau
Vitória SC,Mamadou Tounkara,20 anos,83,França
Vitória SC,Hélder Sá,20 anos,5,Portugal
Vitória SC,Ryoya Ogawa,26 anos,25,Japão
Vitória SC,Afonso Freitas,22 anos,72,Portugal
Vitória SC,Abdul Mumin,24 anos,6,Gana
Vitória SC,Gonçalo Nogueira,18 anos,64,Portugal
Vitória SC,Gonçalo Pinto,19 anos,97,Portugal
Vitória SC,Matheus Índio,23 anos,23,Brasil
Vitória SC,Tiago Silva,29 anos,10,Portugal
Vitória SC,Dani Silva,22 anos,80,Portugal
Vitória SC,Tomás Händel,22 anos,8,Portugal
Vitória SC,André André,33 anos,21,Portugal
Vitória SC,Zé Carlos,21 anos,28,Portugal
Vitória SC,Nicolas Janvier,24 anos,98,França
Vitória SC,Alfa Semedo,25 anos,30,Guiné-Bissau
Vitória SC,André Almeida,22 anos,70,Portugal
Vitória SC,Rúben Lameiras,27 anos,7,Portugal
Vitória SC,Jason Bahamboula,21 anos,47,França
Vitória SC,Alisson Safira,27 anos,9,Brasil
Vitória SC,Antoñín Cortés,22 anos,15,Espanha
Vitória SC,Anderson Silva,25 anos,33,Brasil
Vitória SC,Felipe Estrella,21 anos,42,Brasil
Vitória SC,Jota Silva,23 anos,11,Portugal
Vitória SC,Nélson da Luz,24 anos,20,Angola
Vitória SC,Jota Pereira,20 anos,87,Portugal
Vitória SC,Mikey Johnston,23 anos,90,Escócia
Vitória SC,André Silva,25 anos,17,Brasil
Vitória SC,Herculano Nabian,18 anos,79,Portugal
Sporting,Antonio Adán,35 anos,1,Espanha
Sporting,Franco Israel,22 anos,12,Uruguai
Sporting,André Paulo,25 anos,22,Portugal
Sporting,Diego Callai,18 anos,41,Brasil
Sporting,Ricardo Esgaio,29 anos,47,Portugal
Sporting,Diogo Travassos,18 anos,97,Portugal
Sporting,Jeremiah St. Juste,26 anos,3,Países Baixos
Sporting,Sebastián Coates,32 anos,4,Uruguai
Sporting,Luís Neto,34 anos,13,Portugal
Sporting,Gonçalo Inácio,21 anos,25,Portugal
Sporting,José Marsà,20 anos,63,Espanha
Sporting,Chico Lamba,19 anos,73,Portugal
Sporting,Matheus Reis,27 anos,2,Brasil
Sporting,Flávio Nazinho,19 anos,71,Portugal
Sporting,Pedro Porro,23 anos,24,Espanha
Sporting,Sotiris Alexandropoulos,21 anos,6,Grécia
Sporting,Manuel Ugarte,21 anos,15,Uruguai
Sporting,Dário Essugo,17 anos,84,Portugal
Sporting,Renato Veiga,19 anos,95,Portugal
Sporting,Mateus Fernandes,18 anos,82,Portugal
Sporting,Hidemasa Morita,27 anos,5,Japão
Sporting,Daniel Bragança,23 anos,23,Portugal
Sporting,Matheus Nunes,24 anos,8,Portugal
Sporting,Francisco Trincão,22 anos,17,Portugal
Sporting,Fatawu Issahaku,18 anos,18,Gana
Sporting,Luís Gomes,18 anos,83,Portugal
Sporting,Paulinho,30 anos,20,Portugal
Sporting,Youssef Chermiti,18 anos,79,Portugal
Sporting,Rodrigo Ribeiro,17 anos,91,Portugal
Sporting,Rochinha,27 anos,16,Portugal
Sporting,Arthur Gomes,24 anos,33,Brasil
Sporting,Jovane Cabral,24 anos,77,Cabo Verde
Sporting,Marcus Edwards,24 anos,10,Inglaterra
Sporting,Pedro Gonçalves,24 anos,28,Portugal
Sporting,Nuno Santos,27 anos,11,Portugal
SC Braga,Matheus Magalhães,30 anos,1,Brasil
SC Braga,Tiago Sá,27 anos,12,Portugal
SC Braga,Lukas Hornicek,20 anos,91,Chéquia
SC Braga,Bernardo Fontes,20 anos,31,Brasil
SC Braga,Víctor Gómez,22 anos,2,Espanha
SC Braga,Fabiano Souza,22 anos,70,Brasil
SC Braga,Dinis Pinto,22 anos,76,Portugal
SC Braga,Vítor Tormena,26 anos,3,Brasil
SC Braga,Sikou Niakaté,23 anos,4,França
SC Braga,Paulo Oliveira,30 anos,15,Portugal
SC Braga,Bruno Rodrigues,21 anos,24,Portugal
SC Braga,Guilherme Soares,21 anos,42,Portugal
SC Braga,Serdar Saatci,19 anos,5,Turquia
SC Braga,Nuno Sequeira,32 anos,6,Portugal
SC Braga,Cristián Borja,29 anos,26,Colômbia
SC Braga,Francisco Moura,23 anos,74,Portugal
