data,hora,Casa,resultado,visitante,Jornada,link,numero,evento,numero2,evento2,nome,nome2
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,1,,,,Stanislav Kritciuk,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,15,,,,Carraça,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,3,,,,Lucas Cunha,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,26,,,,Rúben Fernandes,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,19,,,,Adrián Marín,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,21,Saiu 85/,,,Vitor Carvalho,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,10,Saiu 85/,,,Kanya Fujimoto,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,25,Amarelo 60 /Saiu 70/,,,Pedro Tiba,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,77,,,,Murilo Souza,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,9,Golo 27  /,,,Fran Navarro,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,7,Assistencia 27  /Saiu 75/,,,Bilel Aouacheria,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,12,,,,Brian Araújo,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,78,,,,Danilo Veiga,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,72,,,,Tomás Araújo,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,55,,,,Henrique Gomes,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,8,Entrou 85/Amarelo 89 /,,,Giorgi Aburjania,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,18,,,,Mizuki Arai,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,57,Entrou 70/,,,Matheus Bueno,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,30,Entrou 85/,,,Ali Alipour,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,17,Entrou 75/,,,Kevin Medina,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,,,Carlos Cunha,
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,32,,,Kosuke Nakamura
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,3,,,Zié Ouattara
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,22,,,Filipe Relvas
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,44,,,Pedrão
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,14,,,Moustapha Seck
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,24,Golo 12  /,,Mohamed Diaby
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,18,,,Fahd Moufi
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,38,Assistencia 12  /Saiu 85/,,Paulo Estrela
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,11,Saiu 75/,,Anderson Oliveira
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,20,Amarelo 47 /Saiu 85/,,Luquinha
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,99,Saiu 71/,,Yago Cariello
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,1,,,Berke Ozer
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,28,,,Pastor
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,19,,,Gonçalo Costa
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,6,Entrou 85/,,Henrique Jocú
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,8,Entrou 85/,,Ewerton
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,27,,,Gustavo Klismahn
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,17,Entrou 71/Golo 78  /,,Ricardo Matos
2022-11-04,20:15,Gil Vicente,1-2,Portimonense,J12,1-2,,,35,,,Bryan Róchez
